parameter file: page.parameters
trace file: ./trace/web_0.csv
-----------------------parameter file----------------------
#parameter file
#dram capacity = 131074;     #the unit is B
250000,     753985286725,          4439,       1434322,     442917841,         91643,         91650,         91111,             0,       2032691,        769566,            18,          9982,          5238,          1723,          3158,          5101,          6509,          1765,           579,          1998,          3932,     495435824
260000,     778472606929,          4688,       8773044,     460576891,         44272,         44271,         44014,             0,       2151560,        767873,          4331,          5669,          3011,           997,          1748,          2924,          3609,           951,           319,          1054,          2236,     509321235
270000,     817458240607,          5100,        817202,     457021374,         70415,         70417,         70004,             0,       2345931,        764556,          1067,          8933,          4584,          1514,          2780,          4639,          5774,          1425,           485,          1674,          3615,     506916153
280000,     841801078092,          5313,      11810908,     496040294,         37867,         37864,         37648,             0,       2445613,        762424,          3881,          6119,          3184,          1053,          1870,          3196,          3999,          1064,           358,          1138,          2503,     544374982
290000,     884460901960,          5437,       1365239,     132023199,         25463,         25463,         25311,             0,       2503416,        758165,          1179,          8821,          4729,          1564,          2788,          4469,          5671,          1579,           508,          1734,          3429,     145652112
300000,     893226553393,          5445,       6963614,     192821388,          3732,          3731,          3708,             0,       2506725,        755801,          6825,          3175,          1628,           521,           927,          1727,          2020,           473,           150,           547,          1323,     199751224
310000,     904610970977,          5453,      11560489,      23020818,          3464,          3462,          3441,             0,       2510141,        753705,          6530,          3470,          1938,           666,          1062,          1742,          2111,           579,           193,           619,          1299,      24827216
320000,     956644132459,          5453,        405320,       6387075,          6547,          6552,          6510,             0,       2510141,        747158,            24,          9976,          5198,          1747,          3064,          5165,          6479,          1701,           598,          1892,          3989,       6614236
330000,    1004919564482,          5469,       1410722,      15078044,          8604,          8601,          8557,             0,       2516423,        741290,            70,          9930,          5196,          1716,          3113,          5101,          6449,          1715,           589,          1942,          3918,      15307894
340000,    1025319945882,          5574,    1246808858,    1368980903,         21539,         21542,         21414,             0,       2556967,        737706,          1586,          8414,          4580,          1558,          2277,          4579,          4840,          1006,           342,          1094,          3404,    1192729428
350000,    1060637015519,          5863,       4259327,     222571065,         39717,         39715,         39480,             0,       2662129,        745602,          1484,          8516,          4951,          1662,          2773,          4081,          5074,          1509,           518,          1620,          2936,     248672400
360000,    1081050532966,          5938,      22501668,     111327400,         12571,         12574,         12504,             0,       2690967,        745856,          5421,          4579,          2554,           848,          1504,          2227,          2846,           821,           274,           912,          1660,     128592688
370000,    1081582672821,          5938,     137976616,     227927552,           472,           468,           468,             0,       2690967,        745384,          9444,           556,           369,           125,           186,           245,           264,            77,            26,            87,           151,     229064323
380000,    1082793280766,          5945,     634599873,     718291436,          1574,          1574,          1560,             0,       2693512,        745007,          9017,           983,           594,           192,           289,           502,           514,           125,            34,           124,           356,     786055441
390000,    1083260482926,          5945,    1173442146,    1348049196,           205,           204,           204,             0,       2693512,        744802,          9685,           315,           183,            64,            93,           158,           175,            43,            15,            43,           117,    1384727298
400000,    1083512285666,          5945,    1363706624,    1541516736,            50,            52,            48,             0,       2693512,        744752,          9913,            87,            51,            13,            33,            41,            51,            15,             5,            16,            30,    1583251410
410000,    1084316950346,          5946,    1583093365,    1910451943,           244,           244,           249,             0,       2693909,        744679,          9607,           393,           241,            78,           128,           187,           218,            66,            20,            63,           135,    1988843529
420000,    1085570902791,          5959,    2348274131,    2390999279,          1375,          1375,          1364,             0,       2698652,        745527,          9524,           476,           333,           112,           149,           215,           203,            60,            21,            57,           125,   -1883068207
430000,    1086758927836,          5962,    2921792666,    3361918810,          1565,          1564,          1556,             0,       2699706,        744475,          8580,          1420,          1053,           350,           469,           601,           529,           162,            53,           162,           314,    -854216821
440000,    1088089754160,          5966,    3994684352,    4203959785,          1990,          1991,          1980,             0,       2701322,        743169,          8045,          1955,          1287,           425,           564,           966,           816,           148,            58,           183,           575,     -59943562
450000,    1088874196596,          5967,    4659072018,    5034256913,           682,           683,           675,             0,       2701403,        742658,          9110,           890,           673,           234,           286,           370,           309,            92,            33,            89,           187,     813664441
460000,    1089802741273,          5974,    5159132534,    5442394454,           984,           986,           978,             0,       2703866,        742871,          9011,           989,           576,           194,           304,           491,           600,           187,            62,           177,           361,    1188548613
470000,    1090319075542,          5976,    5295245713,    5764193740,           451,           449,           449,             0,       2704456,        742762,          9808,           192,           128,            37,            62,            93,            91,            27,            11,            27,            53,    1669257836
480000,    1091478459663,          5980,    6063456078,    6185230067,          1226,          1225,          1221,             0,       2705957,        742220,          9123,           877,           561,           204,           251,           422,           409,            93,            35,            99,           275,    1916283243
490000,    1092588656551,          5987,    6784979430,    6932690099,           993,           996,           986,             0,       2708494,        742424,          9394,           606,           348,           117,           178,           311,           336,            78,            21,            92,           223,   -1587560904
500000,    1093546573460,          5993,    7110342705,    7448940074,           893,           891,           891,             0,       2710859,        742557,          9794,           206,           139,            43,            66,            97,            90,            23,             9,            29,            52,   -1007892288
510000,    1095210476727,          5999,    7964262329,    8302750908,          2483,          2480,          2465,             0,       2713230,        741100,          7470,          2530,          1885,           631,           825,          1074,           904,           259,            93,           269,           542,    -304414517
520000,    1095964734606,          6000,    8714984107,    9211685519,           502,           506,           498,             0,       2713705,        740769,          9274,           726,           582,           198,           235,           293,           207,            63,            27,            64,           116,     640100617
530000,    1097185826107,          6006,    9345433305,    9692208890,          1402,          1400,          1398,             0,       2716031,        740393,          8777,          1223,           850,           307,           382,           534,           498,           125,            43,           151,           304,    1213558319
540000,    1098300335857,          6009,    9417170231,   10146056969,          1247,          1249,          1239,             0,       2717435,        739659,          8701,          1299,           860,           283,           386,           630,           543,           104,            28,           141,           374,    1694682927
550000,    1100382432233,          6015,   10695776557,   10720580240,          1299,          1295,          1291,             0,       2719998,        739386,          9391,           609,           353,           116,           189,           304,           334,            78,            26,            99,           209,   -2087654180
560000,    1102177521608,          6030,   12024004074,   11869512921,          2087,          2087,          2068,             0,       2725904,        739864,          9809,           191,           113,            38,            60,            93,           116,            38,            13,            37,            66,    -723974224
570000,    1112310242708,          6126,    6767640562,    4496154836,         16063,         16065,         15977,             0,       2762643,        740217,          4687,          5313,          2890,           956,          1667,          2690,          3280,           857,           282,           984,          2014,     297833616
580000,    1139932965762,          6222,     137733996,     201609071,         19206,         19207,         19092,             0,       2802648,        737427,          3202,          6798,          3253,          1115,          1909,          3774,          4547,          1002,           324,          1203,          3020,     236077652
590000,    1170058748279,          6394,     879806279,     649935667,         30330,         30330,         30153,             0,       2868867,        736509,          1656,          8344,          3626,          1235,          2232,          4877,          5863,          1145,           379,          1448,          4036,     775582296
600000,    1210646587764,          6426,       1677639,      28533959,         10256,         10254,         10192,             0,       2881288,        731725,           508,          9492,          5126,          1677,          3046,          4769,          6078,          1712,           547,          1889,          3642,      32530791
610000,    1253919056028,          6563,       4271873,     192355370,         26231,         26231,         26081,             0,       2935788,        728921,           437,          9563,          4673,          1553,          2811,          5199,          6467,          1577,           524,          1780,          4163,     227712721
620000,    1304127256749,          7326,        697438,      69249508,         21723,         21725,         21598,             0,       2981703,        721797,           194,          9806,          5113,          1746,          3040,          5020,          6426,          1733,           597,          1951,          3878,      73381660
630000,    1354296868888,          7904,       2457576,     144239815,         38256,         38256,         38035,             0,       3076979,        723117,           234,          9766,          5180,          1731,          3076,          4959,          6358,          1772,           586,          1938,          3834,     163225055
640000,    1390937316693,          8191,       4129908,     241981487,         45712,         45710,         45438,             0,       3198495,        726482,          2021,          7979,          4236,          1432,          2485,          4062,          5062,          1319,           455,          1517,          3090,     271328016
650000,    1418543958937,          8461,       9342311,     308793138,         45158,         45158,         44896,             0,       3319046,        727494,          2924,          7076,          3821,          1276,          2187,          3613,          4396,          1141,           369,          1284,          2743,     347455313
660000,    1464228117951,          8796,       5144436,     264990129,         57752,         57750,         57412,             0,       3473119,        727027,           342,          9658,          5214,          1712,          3072,          4874,          6177,          1733,           600,          1871,          3706,     285187631
670000,    1503685688238,          8952,       2762742,     139375132,         29252,         29254,         29085,             0,       3543396,        724451,           936,          9064,          4910,          1628,          2890,          4546,          5721,          1567,           529,          1755,          3437,     152303957
680000,    1553394068408,          8968,       2358838,      13864822,          8619,          8625,          8569,             0,       3550263,        718568,           234,          9766,          5182,          1741,          3073,          4952,          6377,          1793,           613,          1953,          3811,      14194567
690000,    1584144928014,          8992,       6763167,      33377873,          7269,          7266,          7221,             0,       3559692,        715403,          3560,          6440,          3490,          1149,          2066,          3225,          4012,          1062,           353,          1242,          2417,      30707955
700000,    1605722064559,          8992,      17055210,       8898317,          2987,          2988,          2974,             0,       3559692,        712416,          5276,          4724,          2586,           895,          1453,          2376,          2937,           799,           290,           857,          1790,       8824599
710000,    1652395039530,         10280,       2588025,      57354593,         17407,         17403,         17301,             0,       3593346,        701817,           371,          9629,          5173,          1689,          3090,          4850,          6157,          1701,           547,          1904,          3706,      64867193
720000,    1700684637451,         11032,       4351774,     314945829,         63854,         63856,         63488,             0,       3766756,        670401,           220,          9780,          5229,          1734,          3089,          4957,          6251,          1700,           579,          1895,          3777,     353441865
